"TEAM_ABBREVIATION","Actual_Win_Rate","Logit_Pred_Rate","SVM_Pred_Rate","RF_Pred_Rate","CART_Pred_Rate"
"ATL",0.48780487804878,0.482072950735929,0.401666461308939,0.46519512195122,0.477245230939882
"BKN",0.317073170731707,0.312157101221165,0.373879653945516,0.003,0.263719512195122
"BOS",0.74390243902439,0.736347894122184,0.612255622552337,0.998,0.644599303135888
"CHA",0.231707317073171,0.227626773536424,0.373859386484335,0,0.263719512195122
"CHI",0.475609756097561,0.470191156873378,0.373861561225044,0.422,0.478450555261766
"CLE",0.780487804878049,0.776231117092039,0.612239792977935,1,0.644599303135888
"DAL",0.475609756097561,0.470005104684343,0.420618463255342,0.380341463414634,0.477245230939882
"DEN",0.609756097560976,0.603945450892183,0.612264198268145,0.945,0.644599303135888
"DET",0.536585365853659,0.530699349184756,0.612202994892623,0.773,0.478450555261766
"GSW",0.585365853658537,0.579684476372247,0.612231001234563,0.916,0.644599303135888
"HOU",0.634146341463415,0.628751912251501,0.612239338718882,0.952,0.644599303135888
"IND",0.609756097560976,0.604258184224712,0.584323590068853,0.870146341463415,0.644599303135888
"LAC",0.609756097560976,0.604285339219033,0.599390896161299,0.863,0.644599303135888
"LAL",0.609756097560976,0.60437258386582,0.577316371684858,0.843,0.644599303135888
"MEM",0.585365853658537,0.57928886829782,0.612207435136714,0.909,0.644599303135888
"MIA",0.451219512195122,0.445454650602153,0.392835349781832,0.249,0.478450555261766
"MIL",0.585365853658537,0.57968700835752,0.597465121457169,0.874,0.478450555261766
"MIN",0.597560975609756,0.592112528499014,0.611678653676807,0.9445,0.644599303135888
"NOP",0.25609756097561,0.251770594721367,0.373894741663466,0.005,0.263719512195122
"NYK",0.621951219512195,0.616662533998006,0.612192137415908,0.963,0.644599303135888
"OKC",0.829268292682927,0.82604260924683,0.612247975476412,1,0.644599303135888
"ORL",0.5,0.494963438939587,0.464233395697049,0.524,0.478450555261766
"PHI",0.292682926829268,0.288041999826768,0.373885896215798,0.002,0.263719512195122
"PHX",0.439024390243902,0.433798264296857,0.430094424642676,0.2835,0.478450555261766
"POR",0.439024390243902,0.433260221987591,0.38183091040298,0.227,0.478450555261766
"SAC",0.48780487804878,0.482090526200107,0.440294294438994,0.437,0.478450555261766
"SAS",0.414634146341463,0.40906058907523,0.398125647980171,0.189756097560976,0.477245230939882
"TOR",0.365853658536585,0.360726665552494,0.373873073659792,0.063,0.263719512195122
"UTA",0.207317073170732,0.203295426938233,0.373860814987013,0.001,0.263719512195122
"WAS",0.219512195121951,0.215554420300395,0.373879231019088,0,0.263719512195122
