"TEAM_ABBREVIATION","logit_avg","svm_avg","rf_avg","cart_avg","actual_win_rate"
"ATL",0.48780487802631,0.507991088120314,0.487939024390244,0.48780487804878,0.48780487804878
"BKN",0.317073170772598,0.514837857705758,0.313073170731707,0.317073170731707,0.317073170731707
"BOS",0.743902438961653,0.449509963064214,0.739512195121951,0.74390243902439,0.74390243902439
"CHA",0.231707317040948,0.511333887544817,0.22890243902439,0.231707317073171,0.231707317073171
"CHI",0.47560975611046,0.504972625589605,0.476890243902439,0.475609756097561,0.475609756097561
"CLE",0.780487804911798,0.434552033178042,0.779317073170732,0.780487804878049,0.780487804878049
"DAL",0.475609756066032,0.496511918556266,0.475487804878049,0.475609756097561,0.475609756097561
"DEN",0.60975609759533,0.477770623828398,0.61519512195122,0.609756097560976,0.609756097560976
"DET",0.536585365823873,0.493454752511994,0.535780487804878,0.536585365853659,0.536585365853659
"GSW",0.585365853629695,0.456397385331435,0.584829268292683,0.585365853658537,0.585365853658537
"HOU",0.634146341484315,0.466384541639747,0.628780487804878,0.634146341463415,0.634146341463415
"IND",0.609756097568549,0.449708114602601,0.608963414634146,0.609756097560976,0.609756097560976
"LAC",0.60975609754185,0.479850419411565,0.610121951219512,0.609756097560976,0.609756097560976
"LAL",0.609756097546252,0.444327939640717,0.60880487804878,0.609756097560976,0.609756097560976
"MEM",0.58536585365789,0.465689826568162,0.588585365853659,0.585365853658537,0.585365853658537
"MIA",0.451219512197636,0.525540572030964,0.450365853658537,0.451219512195122,0.451219512195122
"MIL",0.585365853644638,0.47166701793307,0.584439024390244,0.585365853658537,0.585365853658537
"MIN",0.597560975627039,0.464975334686623,0.598341463414634,0.597560975609756,0.597560975609756
"NOP",0.256097560990819,0.552099170183459,0.256975609756098,0.25609756097561,0.25609756097561
"NYK",0.621951219476191,0.429966049923175,0.619878048780488,0.621951219512195,0.621951219512195
"OKC",0.829268292682927,0.441407894371706,0.824731707317073,0.829268292682927,0.829268292682927
"ORL",0.500000000056377,0.468219173193063,0.492585365853659,0.5,0.5
"PHI",0.29268292684147,0.554793509738712,0.290585365853659,0.292682926829268,0.292682926829268
"PHX",0.439024390243066,0.516452844459471,0.437926829268293,0.439024390243902,0.439024390243902
"POR",0.439024390197291,0.507806230973637,0.435121951219512,0.439024390243902,0.439024390243902
"SAC",0.487804878059189,0.490051076526881,0.491512195121951,0.48780487804878,0.48780487804878
"SAS",0.414634146366415,0.518786074069798,0.414951219512195,0.414634146341463,0.414634146341463
"TOR",0.365853658529889,0.519211968756636,0.365853658536585,0.365853658536585,0.365853658536585
"UTA",0.207317073193565,0.53105454380961,0.212634146341463,0.207317073170732,0.207317073170732
"WAS",0.219512195121951,0.530316555976898,0.21940243902439,0.219512195121951,0.219512195121951
